orderid   custid    itemid  pieces  datetran  
822       60880423  15      8       11.07.2014
823       42830052  21      1       18.02.2014
824       15430481  48      9       12.02.2014
825       11191511  56      1       30.09.2014
826       60188014  60      4       21.01.2013
827       61087424  13      6       06.05.2014
828       61859303  47      4       29.09.2014
829       72308494  56      5       22.06.2013
830       45541108  44      3       03.12.2014
831       67601235  45      4       07.04.2013
832       18967353  49      1       01.08.2013
833       63847612  49      2       16.11.2013
834       12147907  27      1       01.05.2014
835       63092077  25      6       05.08.2013
836       19049951  15      9       20.01.2014
837       12613533  3       9       03.09.2014
838       68664826  45      8       10.02.2013
839       25884824  14      4       06.10.2014
840       67668569  22      1       23.12.2013
841       48493864  55      7       27.09.2014
842       41585208  32      2       15.04.2014
843       46999787  31      5       05.04.2014
844       14685914  57      5       02.01.2013
845       40202381  6       7       21.08.2013
846       12301680  58      7       03.07.2014
847       68979711  42      10      18.12.2014
848       40782468  25      9       13.07.2014
849       49088831  29      6       21.01.2014
850       41226119  48      6       13.02.2014
851       49243748  3       5       29.01.2013
852       47845473  37      2       12.09.2014
853       18652930  57      7       02.04.2013
854       70897247  60      7       08.09.2014
855       14862425  37      8       20.06.2013
856       43776086  10      9       27.02.2013
857       15190706  26      8       11.03.2014
858       60632381  33      3       10.12.2013
859       25003232  43      9       14.02.2013
860       72235799  17      1       12.08.2013
861       10043772  54      5       10.09.2013
862       66548284  1       2       10.09.2014
863       25921967  51      8       13.07.2013
864       46361898  53      4       07.12.2014
865       42691494  59      3       27.08.2014
866       25881761  37      5       15.09.2014
867       13090411  51      4       08.06.2014
868       72358289  20      6       10.10.2013
869       62191528  53      9       07.03.2013
870       40264211  21      7       04.01.2014
871       25164724  8       3       10.06.2014
872       43378218  49      9       23.09.2013
873       18439179  48      10      15.03.2013
874       25033433  6       2       02.01.2014
875       25779729  24      5       18.06.2013
876       60316144  12      10      26.03.2013
877       40033686  2       8       23.05.2014
878       60316144  13      1       01.09.2013
879       63131820  31      6       29.04.2013
880       63910403  5       9       24.11.2014
881       48174009  30      5       06.08.2014
882       44074042  59      3       10.02.2014
883       41368231  30      6       29.06.2013
884       49088831  29      2       08.10.2014
885       65755448  4       4       22.04.2013
886       65755448  39      9       08.11.2013
887       68738714  49      2       10.02.2013
888       72104279  39      6       19.06.2013
889       42272653  51      8       05.10.2014
890       64312275  9       10      26.10.2014
891       10146181  44      2       15.03.2013
892       10433848  35      4       11.07.2014
893       45179131  42      1       20.06.2013
894       18541372  3       7       18.05.2014
895       69410305  33      2       20.10.2014
896       44376693  20      4       18.03.2014
897       43779034  39      3       16.01.2013
898       70672245  5       5       27.01.2014
899       12794180  16      5       13.04.2014
900       67259545  22      9       20.02.2013
901       47884207  47      6       17.02.2014
902       62486641  19      9       03.07.2014
903       16767799  19      8       22.06.2014
904       43915701  20      2       04.01.2014
905       14636077  59      8       09.06.2013
906       11233991  12      9       23.04.2013
907       49099868  57      7       10.11.2013
908       70509948  37      1       19.04.2013
909       60175982  39      5       26.09.2014
910       66757843  16      3       19.04.2014
911       70327076  55      8       05.08.2014
912       46275169  52      9       20.08.2014
913       00533882  45      7       13.06.2013
914       48764957  58      4       06.04.2013
915       63590565  31      4       27.12.2013
916       12723304  26      3       21.01.2013
917       25757253  1       4       13.08.2014
918       48883191  6       10      01.02.2013
919       69200394  45      1       06.03.2013
920       49631501  38      10      31.05.2014
921       69553995  33      9       21.09.2014
922       43883991  18      2       02.06.2014
923       60043806  15      2       26.11.2013
924       65850548  35      9       13.04.2013
925       63766914  24      2       31.03.2014
926       64508447  36      2       22.09.2013
927       70356122  40      4       24.07.2013
928       40564398  6       10      25.01.2014
929       40484157  56      9       05.11.2014
930       25757253  29      7       11.05.2013
931       42423953  5       7       01.07.2014
932       40782468  56      4       20.06.2014
933       68469519  40      7       28.01.2014
934       13175874  49      2       29.10.2014
935       41923006  48      9       16.12.2013
936       49167570  28      5       06.01.2013
937       11233991  24      10      25.10.2013
938       44031416  26      9       12.05.2013
939       65402599  11      9       28.02.2014
940       15353851  22      4       02.07.2014
941       12026611  24      1       04.10.2014
942       67673554  59      5       16.03.2014
943       69200394  58      3       16.12.2014
944       46071768  47      8       12.08.2013
945       70301263  60      3       21.10.2014
946       43538479  30      3       15.06.2014
947       63651840  40      7       09.02.2013
948       12865320  9       3       15.03.2014
949       66449774  23      4       31.10.2014
950       10460551  15      3       09.08.2014
951       48523461  24      10      23.10.2013
952       42096693  20      6       12.11.2014
953       11500794  54      1       03.04.2014
954       15665356  17      8       15.08.2013
955       46223843  40      8       25.04.2014
956       72987898  55      10      18.11.2013
957       10146181  25      6       23.02.2013
